age,gender,platform,privacyNum,frequency,concern0,concern1,concern2,concern3,ifPrivacy
3,Female,CrowdWorks,5,1,7,2,5,2,0
2,Female,CrowdWorks,6,3,6,6,4,6,1
2,Female,CrowdWorks,4,2,7,7,3,7,0
3,Female,CrowdWorks,9,1,7,7,5,7,0
2,Male,CrowdWorks,0,3,4,4,2,4,0
5,Female,CrowdWorks,0,0,7,7,5,7,0
2,Female,CrowdWorks,6,3,6,6,4,6,0
2,Female,CrowdWorks,6,1,6,6,4,6,0
3,Male,CrowdWorks,2,1,6,6,4,6,0
2,Female,CrowdWorks,6,3,6,6,4,6,0
3,Female,CrowdWorks,2,1,5,5,5,5,0
3,Female,CrowdWorks,5,3,5,6,3,6,0
2,Male,CrowdWorks,4,2,6,5,3,6,1
4,Male,CrowdWorks,9,3,7,7,7,7,1
3,Male,CrowdWorks,4,1,7,7,7,7,0
3,Male,CrowdWorks,6,3,5,5,3,5,0
4,Female,CrowdWorks,8,1,5,6,6,6,1
2,Female,CrowdWorks,6,3,6,6,4,6,1
2,Female,CrowdWorks,3,2,3,3,3,5,0
2,Female,CrowdWorks,4,2,7,7,3,7,1
3,Female,CrowdWorks,2,1,6,6,6,6,1
3,Male,CrowdWorks,2,1,6,6,4,6,0
4,Female,CrowdWorks,4,0,4,5,5,5,0
4,Female,CrowdWorks,10,1,6,6,4,5,1
2,Male,CrowdWorks,4,1,6,6,6,6,1
4,Other,CrowdWorks,6,1,5,5,5,5,1
3,Female,CrowdWorks,5,3,5,6,3,6,1
3,Male,CrowdWorks,9,2,6,5,4,7,1
2,Female,CrowdWorks,3,2,3,3,3,5,0
4,Male,CrowdWorks,9,3,7,7,7,7,1
3,Female,CrowdWorks,7,1,6,7,3,7,0
2,Male,CrowdWorks,8,3,5,6,4,5,1
2,Male,CrowdWorks,4,1,6,6,6,6,0
2,Female,CrowdWorks,9,2,7,7,7,7,1
3,Male,CrowdWorks,2,1,6,6,4,6,1
2,Female,CrowdWorks,6,1,6,6,4,6,1
3,Male,CrowdWorks,9,1,6,6,5,6,1
2,Male,CrowdWorks,4,2,6,5,3,6,1
3,Male,CrowdWorks,9,1,6,6,5,6,1
3,Female,CrowdWorks,5,1,7,2,5,2,0
3,Female,CrowdWorks,5,3,5,6,3,6,1
3,Male,CrowdWorks,2,1,6,6,4,6,0
3,Female,CrowdWorks,2,1,5,5,5,5,1
3,Female,CrowdWorks,9,1,7,7,5,7,1
3,Male,CrowdWorks,9,2,6,5,4,7,1
3,Female,CrowdWorks,9,1,7,7,5,7,1
3,Female,CrowdWorks,7,0,7,7,2,7,1
2,Male,CrowdWorks,0,3,4,4,2,4,0
4,Female,CrowdWorks,4,0,4,5,5,5,0
3,Male,CrowdWorks,2,1,6,6,4,6,1
2,Female,CrowdWorks,3,2,3,3,3,5,0
4,Male,CrowdWorks,3,1,5,6,5,5,0
2,Female,CrowdWorks,7,1,5,5,5,5,1
3,Female,CrowdWorks,5,3,5,6,3,6,0
5,Female,CrowdWorks,0,0,7,7,5,7,0
4,Female,CrowdWorks,9,1,5,6,6,6,1
4,Male,CrowdWorks,3,1,5,6,5,5,0
3,Female,CrowdWorks,8,0,2,2,7,6,1
3,Female,CrowdWorks,7,0,7,7,2,7,1
3,Female,CrowdWorks,7,1,6,7,3,7,1
3,Female,CrowdWorks,5,3,5,6,3,6,1
4,Other,CrowdWorks,6,1,5,5,5,5,1
3,Female,CrowdWorks,8,4,6,6,5,6,0
3,Female,CrowdWorks,7,1,6,6,4,6,0
2,Female,CrowdWorks,7,1,6,6,5,6,1
3,Female,CrowdWorks,7,0,7,7,2,7,1
3,Female,CrowdWorks,5,1,7,2,5,2,1
3,Male,CrowdWorks,9,1,6,6,5,6,1
2,Male,CrowdWorks,8,3,5,6,4,5,1
3,Male,CrowdWorks,9,2,6,5,4,7,1
5,Female,CrowdWorks,0,0,7,7,5,7,0
3,Female,CrowdWorks,9,1,7,7,5,7,1
4,Female,CrowdWorks,7,0,6,6,6,6,0
2,Male,CrowdWorks,8,3,5,6,4,5,1
3,Male,CrowdWorks,1,0,6,6,4,6,0
3,Female,CrowdWorks,7,1,6,7,3,7,1
3,Male,CrowdWorks,10,2,6,6,4,5,1
3,Female,CrowdWorks,8,0,2,2,7,6,1
4,Male,CrowdWorks,9,3,7,7,7,7,1
3,Male,CrowdWorks,9,1,6,6,5,6,1
3,Female,CrowdWorks,2,1,5,5,5,5,1
4,Female,CrowdWorks,8,1,5,6,6,6,0
4,Female,CrowdWorks,7,0,6,6,6,6,1
2,Female,CrowdWorks,9,2,7,7,7,7,1
4,Male,CrowdWorks,3,1,5,6,5,5,1
3,Male,CrowdWorks,6,3,5,5,3,5,1
4,Male,CrowdWorks,5,1,7,7,4,7,1
4,Female,CrowdWorks,7,0,6,6,6,6,0
3,Female,CrowdWorks,2,1,5,5,5,5,0
4,Female,CrowdWorks,10,1,6,6,4,5,1
3,Male,CrowdWorks,4,1,7,7,7,7,0
2,Male,CrowdWorks,10,1,1,1,4,1,1
3,Male,CrowdWorks,2,1,6,6,4,6,0
3,Female,CrowdWorks,8,4,6,6,5,6,1
3,Female,CrowdWorks,7,0,7,7,2,7,1
2,Male,CrowdWorks,4,2,6,5,3,6,0
3,Female,CrowdWorks,8,0,2,2,7,6,1
1,Female,CrowdWorks,5,2,7,7,5,7,1
2,Female,CrowdWorks,6,1,6,6,4,6,0
3,Male,CrowdWorks,9,1,6,6,5,6,1
4,Male,CrowdWorks,9,3,7,7,7,7,0
4,Female,CrowdWorks,4,0,4,5,5,5,1
4,Female,CrowdWorks,9,1,5,6,6,6,1
3,Female,CrowdWorks,2,1,5,5,5,5,0
3,Male,CrowdWorks,1,0,6,6,4,6,1
2,Male,CrowdWorks,4,1,6,6,6,6,1
3,Male,CrowdWorks,10,2,6,6,4,5,1
4,Male,CrowdWorks,9,3,7,7,7,7,1
2,Female,CrowdWorks,6,3,6,6,4,6,1
3,Male,CrowdWorks,1,0,6,6,4,6,0
2,Male,CrowdWorks,10,1,1,1,4,1,1
3,Male,CrowdWorks,9,2,6,5,4,7,1
3,Female,CrowdWorks,5,3,5,6,3,6,1
3,Female,CrowdWorks,8,4,6,6,5,6,1
4,Female,CrowdWorks,10,1,6,6,4,5,1
2,Male,CrowdWorks,4,2,6,5,3,6,0
4,Male,CrowdWorks,9,3,7,7,7,7,1
2,Male,CrowdWorks,4,1,6,6,6,6,0
4,Other,CrowdWorks,6,1,5,5,5,5,1
2,Female,CrowdWorks,3,2,3,3,3,5,1
2,Female,CrowdWorks,7,2,6,6,6,6,0
3,Female,CrowdWorks,0,3,7,7,7,7,0
2,Female,CrowdWorks,7,1,6,6,5,6,1
3,Female,CrowdWorks,7,0,7,7,2,7,0
2,Female,CrowdWorks,9,2,7,7,7,7,1
2,Female,CrowdWorks,7,2,6,6,6,6,1
3,Male,CrowdWorks,10,2,6,6,4,5,1
2,Female,CrowdWorks,4,2,7,7,3,7,1
3,Female,CrowdWorks,8,0,2,2,7,6,0
2,Female,CrowdWorks,3,2,3,3,3,5,1
2,Male,CrowdWorks,4,1,6,6,6,6,0
3,Female,CrowdWorks,7,0,6,6,6,6,1
3,Female,CrowdWorks,2,1,6,6,6,6,0
4,Other,CrowdWorks,6,1,5,5,5,5,0
3,Female,CrowdWorks,7,1,6,7,3,7,1
3,Female,CrowdWorks,8,4,6,6,5,6,1
2,Female,CrowdWorks,7,1,5,5,5,5,1
5,Female,CrowdWorks,0,0,7,7,5,7,0
2,Male,CrowdWorks,0,3,4,4,2,4,0
3,Female,CrowdWorks,5,1,7,2,5,2,1
5,Female,CrowdWorks,0,0,7,7,5,7,0
3,Female,CrowdWorks,7,1,6,7,3,7,0
3,Male,CrowdWorks,6,3,5,5,3,5,0
2,Male,CrowdWorks,4,1,6,6,6,6,0
2,Female,CrowdWorks,7,2,6,6,6,6,1
4,Female,CrowdWorks,8,1,5,6,6,6,1
2,Female,CrowdWorks,9,2,7,7,7,7,1
3,Female,CrowdWorks,7,1,6,6,4,6,1
3,Female,CrowdWorks,7,0,7,7,2,7,1
2,Male,CrowdWorks,8,3,5,6,4,5,0
3,Female,CrowdWorks,7,0,6,6,6,6,0
4,Female,CrowdWorks,7,0,6,6,6,6,1
3,Female,CrowdWorks,8,4,6,6,5,6,1
2,Male,CrowdWorks,4,1,6,6,6,6,0
4,Female,CrowdWorks,7,0,6,6,6,6,0
2,Male,CrowdWorks,8,3,5,6,4,5,0
1,Female,CrowdWorks,5,2,7,7,5,7,0
2,Female,CrowdWorks,7,2,6,6,6,6,1
3,Male,CrowdWorks,9,2,6,5,4,7,1
2,Female,CrowdWorks,4,2,7,7,3,7,1
4,Male,CrowdWorks,5,1,7,7,4,7,1
3,Male,CrowdWorks,10,2,6,6,4,5,1
3,Male,CrowdWorks,2,1,6,6,4,6,0
3,Female,CrowdWorks,7,0,7,7,2,7,1
2,Female,CrowdWorks,7,1,6,6,5,6,0
3,Female,CrowdWorks,2,1,6,6,6,6,0
4,Male,CrowdWorks,5,1,7,7,4,7,0
2,Male,CrowdWorks,4,2,6,5,3,6,0
3,Male,CrowdWorks,4,1,7,7,7,7,1
2,Female,CrowdWorks,7,1,5,5,5,5,0
4,Female,CrowdWorks,4,0,4,5,5,5,0
4,Female,CrowdWorks,9,1,5,6,6,6,1
3,Male,CrowdWorks,9,2,6,5,4,7,1
3,Female,CrowdWorks,5,3,5,6,3,6,0
4,Female,CrowdWorks,9,1,5,6,6,6,1
2,Male,CrowdWorks,0,3,4,4,2,4,0
3,Male,CrowdWorks,6,3,5,5,3,5,1
3,Male,CrowdWorks,1,0,6,6,4,6,0
4,Female,CrowdWorks,10,1,6,6,4,5,1
4,Female,CrowdWorks,10,1,6,6,4,5,1
3,Male,CrowdWorks,10,2,6,6,4,5,1
3,Female,CrowdWorks,7,0,6,6,6,6,0
3,Female,CrowdWorks,2,1,6,6,6,6,0
2,Female,CrowdWorks,6,1,6,6,4,6,0
4,Male,CrowdWorks,5,1,7,7,4,7,0
3,Male,CrowdWorks,1,0,6,6,4,6,0
2,Female,CrowdWorks,6,3,6,6,4,6,1
2,Male,CrowdWorks,4,1,6,6,6,6,0
3,Female,CrowdWorks,8,0,2,2,7,6,1
3,Female,CrowdWorks,2,1,5,5,5,5,0
3,Male,CrowdWorks,1,0,6,6,4,6,0
2,Female,CrowdWorks,9,2,7,7,7,7,1
2,Female,CrowdWorks,4,2,7,7,3,7,0
3,Male,CrowdWorks,10,2,6,6,4,5,1
2,Female,CrowdWorks,6,1,6,6,4,6,1
3,Female,CrowdWorks,8,0,2,2,7,6,1
2,Female,CrowdWorks,7,1,6,6,5,6,1
4,Female,CrowdWorks,7,0,6,6,6,6,1
2,Female,CrowdWorks,4,2,7,7,3,7,0
3,Female,CrowdWorks,7,0,6,6,6,6,1
3,Male,CrowdWorks,9,1,6,6,5,6,1
3,Female,CrowdWorks,0,3,7,7,7,7,0
4,Female,CrowdWorks,8,1,5,6,6,6,1
3,Female,CrowdWorks,2,1,6,6,6,6,0
3,Female,CrowdWorks,0,3,7,7,7,7,0
2,Female,CrowdWorks,3,2,3,3,3,5,0
3,Female,CrowdWorks,2,1,5,5,5,5,0
4,Male,CrowdWorks,5,1,7,7,4,7,1
3,Female,CrowdWorks,5,1,7,2,5,2,1
2,Female,CrowdWorks,6,1,6,6,4,6,0
3,Male,CrowdWorks,4,1,7,7,7,7,0
3,Male,CrowdWorks,2,1,6,6,4,6,0
3,Female,CrowdWorks,8,0,2,2,7,6,1
4,Male,CrowdWorks,5,1,7,7,4,7,1
3,Female,CrowdWorks,5,3,5,6,3,6,0
2,Male,CrowdWorks,0,3,4,4,2,4,0
2,Female,CrowdWorks,7,2,6,6,6,6,1
3,Male,CrowdWorks,6,3,5,5,3,5,1
3,Female,CrowdWorks,2,1,6,6,6,6,0
3,Female,CrowdWorks,7,0,6,6,6,6,1
4,Female,CrowdWorks,8,1,5,6,6,6,1
2,Female,CrowdWorks,4,2,7,7,3,7,0
2,Female,CrowdWorks,7,1,5,5,5,5,1
5,Female,CrowdWorks,0,0,7,7,5,7,0
4,Other,CrowdWorks,6,1,5,5,5,5,1
2,Female,CrowdWorks,7,1,6,6,5,6,1
3,Female,CrowdWorks,2,1,6,6,6,6,0
3,Male,CrowdWorks,1,0,6,6,4,6,0
2,Male,CrowdWorks,0,3,4,4,2,4,0
3,Female,CrowdWorks,8,0,2,2,7,6,1
3,Female,CrowdWorks,2,1,5,5,5,5,0
4,Female,CrowdWorks,9,1,5,6,6,6,1
3,Male,CrowdWorks,6,3,5,5,3,5,1
2,Male,CrowdWorks,8,3,5,6,4,5,1
2,Female,CrowdWorks,7,1,5,5,5,5,1
4,Male,CrowdWorks,3,1,5,6,5,5,0
1,Female,CrowdWorks,5,2,7,7,5,7,0
2,Male,CrowdWorks,4,2,6,5,3,6,0
3,Female,CrowdWorks,5,1,7,2,5,2,0
4,Male,CrowdWorks,3,1,5,6,5,5,1
3,Female,CrowdWorks,2,1,5,5,5,5,0
5,Female,CrowdWorks,0,0,7,7,5,7,0
3,Female,CrowdWorks,5,1,7,2,5,2,1
3,Female,CrowdWorks,7,0,6,6,6,6,1
3,Female,CrowdWorks,5,1,7,2,5,2,0
4,Female,CrowdWorks,7,0,6,6,6,6,1
3,Female,CrowdWorks,2,1,6,6,6,6,0
2,Female,CrowdWorks,7,2,6,6,6,6,1
4,Female,CrowdWorks,8,1,5,6,6,6,1
3,Male,CrowdWorks,9,1,6,6,5,6,1
3,Male,CrowdWorks,4,1,7,7,7,7,1
3,Male,CrowdWorks,9,1,6,6,5,6,1
4,Male,CrowdWorks,3,1,5,6,5,5,0
3,Female,CrowdWorks,0,3,7,7,7,7,0
2,Male,CrowdWorks,10,1,1,1,4,1,1
2,Male,CrowdWorks,10,1,1,1,4,1,1
2,Male,CrowdWorks,4,2,6,5,3,6,0
2,Female,CrowdWorks,6,3,6,6,4,6,0
5,Female,CrowdWorks,0,0,7,7,5,7,0
3,Female,CrowdWorks,5,1,7,2,5,2,1
4,Female,CrowdWorks,4,0,4,5,5,5,1
2,Female,CrowdWorks,7,1,5,5,5,5,1
3,Female,CrowdWorks,0,3,7,7,7,7,0
2,Male,CrowdWorks,10,1,1,1,4,1,1
3,Female,CrowdWorks,7,1,6,7,3,7,1
4,Male,CrowdWorks,5,1,7,7,4,7,1
2,Male,CrowdWorks,8,3,5,6,4,5,1
1,Female,CrowdWorks,5,2,7,7,5,7,1
1,Female,CrowdWorks,5,2,7,7,5,7,1
3,Female,CrowdWorks,7,0,6,6,6,6,1
2,Male,CrowdWorks,10,1,1,1,4,1,1
3,Female,CrowdWorks,7,0,7,7,2,7,1
3,Female,CrowdWorks,8,4,6,6,5,6,1
3,Male,CrowdWorks,2,1,6,6,4,6,0
2,Male,CrowdWorks,10,1,1,1,4,1,1
3,Male,CrowdWorks,10,2,6,6,4,5,1
4,Male,CrowdWorks,9,3,7,7,7,7,1
4,Female,CrowdWorks,4,0,4,5,5,5,0
1,Female,CrowdWorks,5,2,7,7,5,7,1
3,Female,CrowdWorks,2,1,6,6,6,6,0
4,Female,CrowdWorks,10,1,6,6,4,5,1
3,Female,CrowdWorks,7,0,7,7,2,7,0
2,Male,CrowdWorks,8,3,5,6,4,5,1
3,Female,CrowdWorks,8,0,2,2,7,6,0
4,Female,CrowdWorks,9,1,5,6,6,6,1
2,Female,CrowdWorks,7,1,6,6,5,6,1
3,Female,CrowdWorks,8,4,6,6,5,6,1
3,Male,CrowdWorks,1,0,6,6,4,6,0
3,Female,CrowdWorks,8,4,6,6,5,6,0
3,Male,CrowdWorks,2,1,6,6,4,6,0
1,Female,CrowdWorks,5,2,7,7,5,7,1
4,Female,CrowdWorks,4,0,4,5,5,5,0
2,Female,CrowdWorks,3,2,3,3,3,5,0
2,Female,CrowdWorks,4,2,7,7,3,7,0
4,Female,CrowdWorks,8,1,5,6,6,6,1
4,Female,CrowdWorks,4,0,4,5,5,5,0
1,Female,CrowdWorks,5,2,7,7,5,7,0
3,Female,CrowdWorks,7,1,6,7,3,7,1
2,Male,CrowdWorks,10,1,1,1,4,1,1
3,Female,CrowdWorks,9,1,7,7,5,7,1
3,Female,CrowdWorks,5,3,5,6,3,6,0
3,Female,CrowdWorks,8,0,2,2,7,6,1
2,Female,CrowdWorks,9,2,7,7,7,7,1
2,Male,CrowdWorks,4,1,6,6,6,6,1
3,Male,CrowdWorks,4,1,7,7,7,7,1
3,Female,CrowdWorks,7,1,6,6,4,6,1
1,Female,CrowdWorks,5,2,7,7,5,7,0
3,Male,CrowdWorks,6,3,5,5,3,5,0
3,Female,CrowdWorks,7,1,6,6,4,6,1
3,Female,CrowdWorks,7,0,6,6,6,6,1
3,Male,CrowdWorks,9,2,6,5,4,7,1
3,Female,CrowdWorks,2,1,6,6,6,6,1
5,Female,CrowdWorks,0,0,7,7,5,7,0
4,Other,CrowdWorks,6,1,5,5,5,5,0
2,Female,CrowdWorks,7,1,5,5,5,5,1
2,Female,CrowdWorks,7,2,6,6,6,6,1
2,Female,CrowdWorks,6,1,6,6,4,6,1
3,Female,CrowdWorks,0,3,7,7,7,7,0
2,Female,CrowdWorks,7,2,6,6,6,6,0
3,Male,CrowdWorks,9,1,6,6,5,6,1
4,Female,CrowdWorks,10,1,6,6,4,5,1
2,Female,CrowdWorks,6,1,6,6,4,6,1
3,Female,CrowdWorks,9,1,7,7,5,7,1
4,Male,CrowdWorks,3,1,5,6,5,5,0
2,Female,CrowdWorks,9,2,7,7,7,7,0
3,Male,CrowdWorks,10,2,6,6,4,5,1
4,Female,CrowdWorks,4,0,4,5,5,5,1
3,Male,CrowdWorks,10,2,6,6,4,5,1
4,Female,CrowdWorks,8,1,5,6,6,6,1
2,Male,CrowdWorks,0,3,4,4,2,4,0
2,Female,CrowdWorks,3,2,3,3,3,5,1
3,Female,CrowdWorks,8,4,6,6,5,6,1
2,Female,CrowdWorks,7,1,6,6,5,6,0
2,Female,CrowdWorks,7,2,6,6,6,6,1
2,Female,CrowdWorks,6,3,6,6,4,6,1
4,Other,CrowdWorks,6,1,5,5,5,5,1
2,Female,CrowdWorks,7,2,6,6,6,6,0
2,Male,CrowdWorks,0,3,4,4,2,4,0
3,Male,CrowdWorks,9,2,6,5,4,7,1
3,Male,CrowdWorks,6,3,5,5,3,5,0
4,Male,CrowdWorks,3,1,5,6,5,5,0
3,Male,CrowdWorks,6,3,5,5,3,5,1
4,Female,CrowdWorks,7,0,6,6,6,6,1
3,Male,CrowdWorks,4,1,7,7,7,7,0
3,Male,CrowdWorks,1,0,6,6,4,6,0
3,Female,CrowdWorks,8,4,6,6,5,6,1
2,Female,CrowdWorks,7,1,6,6,5,6,1
2,Female,CrowdWorks,3,2,3,3,3,5,0
2,Male,CrowdWorks,0,3,4,4,2,4,0
4,Female,CrowdWorks,7,0,6,6,6,6,1
3,Female,CrowdWorks,7,0,6,6,6,6,1
2,Male,CrowdWorks,4,2,6,5,3,6,1
4,Male,CrowdWorks,3,1,5,6,5,5,1
2,Male,CrowdWorks,4,2,6,5,3,6,0
3,Male,CrowdWorks,9,2,6,5,4,7,0
4,Male,CrowdWorks,5,1,7,7,4,7,0
4,Female,CrowdWorks,7,0,6,6,6,6,1
2,Female,CrowdWorks,7,1,5,5,5,5,0
3,Female,CrowdWorks,0,3,7,7,7,7,0
3,Female,CrowdWorks,7,1,6,7,3,7,1
3,Female,CrowdWorks,7,1,6,6,4,6,1
4,Female,CrowdWorks,9,1,5,6,6,6,1
4,Female,CrowdWorks,9,1,5,6,6,6,1
3,Female,CrowdWorks,0,3,7,7,7,7,0
4,Male,CrowdWorks,5,1,7,7,4,7,0
2,Female,CrowdWorks,6,1,6,6,4,6,1
3,Male,CrowdWorks,10,2,6,6,4,5,1
3,Male,CrowdWorks,6,3,5,5,3,5,1
4,Other,CrowdWorks,6,1,5,5,5,5,0
2,Female,CrowdWorks,9,2,7,7,7,7,1
2,Female,CrowdWorks,9,2,7,7,7,7,1
3,Male,CrowdWorks,4,1,7,7,7,7,1
4,Female,CrowdWorks,8,1,5,6,6,6,0
4,Male,CrowdWorks,9,3,7,7,7,7,1
5,Female,CrowdWorks,0,0,7,7,5,7,0
2,Female,CrowdWorks,6,3,6,6,4,6,0
3,Female,CrowdWorks,9,1,7,7,5,7,1
3,Female,CrowdWorks,5,1,7,2,5,2,0
3,Female,CrowdWorks,7,1,6,7,3,7,1
2,Female,CrowdWorks,6,3,6,6,4,6,1
4,Male,CrowdWorks,9,3,7,7,7,7,1
3,Female,CrowdWorks,7,1,6,6,4,6,1
3,Male,CrowdWorks,4,1,7,7,7,7,0
2,Male,CrowdWorks,8,3,5,6,4,5,1
3,Female,CrowdWorks,0,3,7,7,7,7,0
3,Male,CrowdWorks,9,2,6,5,4,7,1
4,Other,CrowdWorks,6,1,5,5,5,5,1
3,Female,CrowdWorks,9,1,7,7,5,7,1
2,Female,CrowdWorks,4,2,7,7,3,7,0
2,Female,CrowdWorks,3,2,3,3,3,5,0
3,Female,CrowdWorks,9,1,7,7,5,7,1
3,Female,CrowdWorks,7,1,6,6,4,6,0
3,Female,CrowdWorks,7,0,6,6,6,6,0
3,Female,CrowdWorks,7,1,6,7,3,7,0
2,Female,CrowdWorks,7,1,5,5,5,5,0
3,Male,CrowdWorks,1,0,6,6,4,6,0
3,Female,CrowdWorks,7,1,6,6,4,6,1
3,Male,CrowdWorks,9,1,6,6,5,6,0
4,Female,CrowdWorks,4,0,4,5,5,5,1
2,Female,CrowdWorks,7,1,6,6,5,6,1
2,Male,CrowdWorks,0,3,4,4,2,4,0
2,Female,CrowdWorks,7,1,5,5,5,5,1
2,Male,CrowdWorks,4,2,6,5,3,6,1
4,Female,CrowdWorks,10,1,6,6,4,5,1
3,Female,CrowdWorks,9,1,7,7,5,7,1
2,Female,CrowdWorks,6,1,6,6,4,6,1
2,Male,CrowdWorks,10,1,1,1,4,1,1
3,Male,CrowdWorks,4,1,7,7,7,7,0
4,Male,CrowdWorks,3,1,5,6,5,5,0
3,Female,CrowdWorks,7,1,6,6,4,6,1
1,Female,CrowdWorks,5,2,7,7,5,7,0
3,Female,CrowdWorks,0,3,7,7,7,7,0
4,Male,CrowdWorks,9,3,7,7,7,7,1
4,Female,CrowdWorks,10,1,6,6,4,5,1
4,Male,CrowdWorks,5,1,7,7,4,7,0
4,Female,CrowdWorks,8,1,5,6,6,6,1
4,Female,CrowdWorks,9,1,5,6,6,6,1
2,Female,CrowdWorks,9,2,7,7,7,7,1
3,Female,CrowdWorks,5,3,5,6,3,6,1
2,Male,CrowdWorks,10,1,1,1,4,1,1
3,Female,CrowdWorks,7,1,6,6,4,6,0
4,Female,CrowdWorks,9,1,5,6,6,6,0
2,Male,CrowdWorks,4,1,6,6,6,6,1
3,Female,CrowdWorks,7,0,7,7,2,7,0
4,Female,CrowdWorks,10,1,6,6,4,5,1
2,Female,CrowdWorks,4,2,7,7,3,7,1
2,Female,CrowdWorks,7,1,6,6,5,6,0
4,Other,CrowdWorks,6,1,5,5,5,5,0
2,Male,CrowdWorks,8,3,5,6,4,5,1
