category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,privacyNum,concern0,concern1,concern2,concern3,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,frequency,imagePath,originCategory,datasetName,id
streetlight,"[0, 1, 0, 0, 0, 0]",1,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",30,Male,10,1,1,4,1,CrowdWorks,7,4,7,4,4,1,171548.jpg,streetlight,LVIS,171548_streetlight
Person,"[1, 0, 0, 0, 0, 0]",3,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",40,Female,8,6,6,5,6,CrowdWorks,7,5,7,7,8,4,79ca3f2ab67af190.jpg,Person,OpenImages,79ca3f2ab67af190_Person
Dog,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,7,7,7,2,7,CrowdWorks,5,8,3,4,5,0,030033e1b4137e3b.jpg,Dog,OpenImages,030033e1b4137e3b_Dog
book,"[0, 0, 0, 1, 0, 0]",5,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",38,Female,8,2,2,7,6,CrowdWorks,5,5,6,9,2,0,231351.jpg,book,LVIS,231351_book
toy,"[0, 0, 0, 1, 0, 0]",6,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",38,Female,8,2,2,7,6,CrowdWorks,5,5,6,9,2,0,231351.jpg,toy,LVIS,231351_toy
identity,"[1, 1, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",22,Female,5,7,7,5,7,CrowdWorks,3,9,7,9,9,2,1ab7ee05996182cd.jpg,identity,OpenImages,1ab7ee05996182cd_identity
Porch,"[0, 1, 0, 0, 0, 0]",2,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",42,Male,9,6,6,5,6,CrowdWorks,8,4,6,4,4,1,24c7ebbfb72cfd8b.jpg,Porch,OpenImages,24c7ebbfb72cfd8b_Porch
book,"[0, 0, 0, 1, 0, 0]",2,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,4,4,5,5,5,CrowdWorks,5,6,7,5,8,0,176415.jpg,book,LVIS,176415_book
magazine,"[0, 0, 0, 1, 0, 0]",1,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,4,4,5,5,5,CrowdWorks,5,6,7,5,8,0,176415.jpg,magazine,LVIS,176415_magazine
Human face,"[1, 0, 0, 0, 0, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Human face,OpenImages,248b5f914b325928_Human face
Human hair,"[1, 0, 0, 0, 0, 0]",0,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Human hair,OpenImages,248b5f914b325928_Human hair
Glasses,"[1, 0, 0, 0, 0, 0]",2,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Glasses,OpenImages,248b5f914b325928_Glasses
Furniture,"[0, 0, 0, 1, 0, 0]",3,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Furniture,OpenImages,248b5f914b325928_Furniture
Human body,"[1, 0, 0, 0, 0, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Human body,OpenImages,248b5f914b325928_Human body
Human head,"[1, 0, 0, 0, 0, 0]",0,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Human head,OpenImages,248b5f914b325928_Human head
Human ear,"[1, 0, 0, 0, 0, 0]",1,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Human ear,OpenImages,248b5f914b325928_Human ear
Boy,"[1, 0, 0, 0, 0, 0]",0,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Boy,OpenImages,248b5f914b325928_Boy
Man,"[1, 0, 0, 0, 0, 0]",0,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Man,OpenImages,248b5f914b325928_Man
Vehicle registration plate,"[1, 1, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",36,Male,1,6,6,4,6,CrowdWorks,4,5,7,7,6,0,0170ea8e1a33375a.jpg,Vehicle registration plate,OpenImages,0170ea8e1a33375a_Vehicle registration plate
Car,"[1, 1, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",36,Male,1,6,6,4,6,CrowdWorks,4,5,7,7,6,0,0170ea8e1a33375a.jpg,Car,OpenImages,0170ea8e1a33375a_Car
Human face,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",36,Male,10,6,6,4,5,CrowdWorks,4,4,6,8,9,2,1bd0c9a68b41d02c.jpg,Human face,OpenImages,1bd0c9a68b41d02c_Human face
Human nose,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",36,Male,10,6,6,4,5,CrowdWorks,4,4,6,8,9,2,1bd0c9a68b41d02c.jpg,Human nose,OpenImages,1bd0c9a68b41d02c_Human nose
Human body,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",36,Male,10,6,6,4,5,CrowdWorks,4,4,6,8,9,2,1bd0c9a68b41d02c.jpg,Human body,OpenImages,1bd0c9a68b41d02c_Human body
Human mouth,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",36,Male,10,6,6,4,5,CrowdWorks,4,4,6,8,9,2,1bd0c9a68b41d02c.jpg,Human mouth,OpenImages,1bd0c9a68b41d02c_Human mouth
Man,"[1, 1, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",36,Male,10,6,6,4,5,CrowdWorks,4,4,6,8,9,2,1bd0c9a68b41d02c.jpg,Man,OpenImages,1bd0c9a68b41d02c_Man
Television,"[0, 0, 0, 1, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Male,9,7,7,7,7,CrowdWorks,4,2,8,7,9,3,2dc6e65820bf79f3.jpg,Television,OpenImages,2dc6e65820bf79f3_Television
vent,"[0, 1, 0, 0, 0, 0]",3,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",33,Female,6,6,6,4,6,CrowdWorks,6,3,10,8,5,3,123053.jpg,vent,LVIS,123053_vent
streetlight,"[0, 1, 0, 0, 0, 0]",3,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",33,Female,6,6,6,4,6,CrowdWorks,6,3,10,8,5,3,123053.jpg,streetlight,LVIS,123053_streetlight
road_map,"[0, 1, 0, 0, 0, 0]",2,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",33,Female,6,6,6,4,6,CrowdWorks,6,3,10,8,5,3,123053.jpg,road_map,LVIS,123053_road_map
license_plate,"[0, 0, 0, 0, 1, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,10,1,1,4,1,CrowdWorks,7,4,7,4,4,1,154000.jpg,license_plate,LVIS,154000_license_plate
license_plate,"[1, 1, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,129462.jpg,license_plate,LVIS,129462_license_plate
cellular_telephone,"[0, 0, 1, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,129462.jpg,cellular_telephone,LVIS,129462_cellular_telephone
ring,"[0, 0, 0, 1, 0, 0]",2,"[0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,129462.jpg,ring,LVIS,129462_ring
bracelet,"[0, 0, 0, 1, 0, 0]",2,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,129462.jpg,bracelet,LVIS,129462_bracelet
Picture frame,"[1, 1, 0, 1, 0, 0]",2,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",44,Female,5,5,6,3,6,CrowdWorks,8,4,6,4,10,3,53f9fa304263f470.jpg,Picture frame,OpenImages,53f9fa304263f470_Picture frame
Human face,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Female,8,6,6,5,6,CrowdWorks,7,5,7,7,8,4,34b65dafe328d39e.jpg,Human face,OpenImages,34b65dafe328d39e_Human face
Human body,"[1, 1, 1, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Female,8,6,6,5,6,CrowdWorks,7,5,7,7,8,4,34b65dafe328d39e.jpg,Human body,OpenImages,34b65dafe328d39e_Human body
Human head,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Female,8,6,6,5,6,CrowdWorks,7,5,7,7,8,4,34b65dafe328d39e.jpg,Human head,OpenImages,34b65dafe328d39e_Human head
Office building,"[1, 1, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Female,8,6,6,5,6,CrowdWorks,7,5,7,7,8,4,34b65dafe328d39e.jpg,Office building,OpenImages,34b65dafe328d39e_Office building
Person,"[1, 1, 0, 0, 1, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Female,8,6,6,5,6,CrowdWorks,7,5,7,7,8,4,34b65dafe328d39e.jpg,Person,OpenImages,34b65dafe328d39e_Person
Clothing,"[1, 1, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Female,8,6,6,5,6,CrowdWorks,7,5,7,7,8,4,34b65dafe328d39e.jpg,Clothing,OpenImages,34b65dafe328d39e_Clothing
identity,"[1, 0, 1, 0, 1, 0]",0,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",52,Female,10,6,6,4,5,CrowdWorks,5,6,7,5,8,1,00018457a4aafe75.jpg,identity,OpenImages,00018457a4aafe75_identity
Building,"[0, 1, 0, 0, 1, 0]",4,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",48,Male,9,7,7,7,7,CrowdWorks,4,2,8,7,9,3,56e803d5e8c580e0.jpg,Building,OpenImages,56e803d5e8c580e0_Building
Human face,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,Other,6,5,5,5,5,CrowdWorks,5,6,7,7,9,1,04833bdaa8c68594.jpg,Human face,OpenImages,04833bdaa8c68594_Human face
Human hair,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,Other,6,5,5,5,5,CrowdWorks,5,6,7,7,9,1,04833bdaa8c68594.jpg,Human hair,OpenImages,04833bdaa8c68594_Human hair
Car,"[1, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,Other,6,5,5,5,5,CrowdWorks,5,6,7,7,9,1,04833bdaa8c68594.jpg,Car,OpenImages,04833bdaa8c68594_Car
Human head,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,Other,6,5,5,5,5,CrowdWorks,5,6,7,7,9,1,04833bdaa8c68594.jpg,Human head,OpenImages,04833bdaa8c68594_Human head
Vehicle,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,Other,6,5,5,5,5,CrowdWorks,5,6,7,7,9,1,04833bdaa8c68594.jpg,Vehicle,OpenImages,04833bdaa8c68594_Vehicle
cat,"[0, 1, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,3,3,3,3,5,CrowdWorks,8,6,5,10,8,2,104510.jpg,cat,LVIS,104510_cat
Table,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",32,Female,7,6,6,5,6,CrowdWorks,6,6,6,9,9,1,5a883350d0ae01a3.jpg,Table,OpenImages,5a883350d0ae01a3_Table
identity,"[1, 0, 1, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",27,Female,9,7,7,7,7,CrowdWorks,8,3,7,6,10,2,01ead89d32a58f87.jpg,identity,OpenImages,01ead89d32a58f87_identity
monitor_(computer_equipment) computer_monitor,"[1, 0, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",32,Female,7,6,6,6,6,CrowdWorks,4,5,5,9,8,2,195918.jpg,monitor_(computer_equipment) computer_monitor,LVIS,195918_monitor_(computer_equipment) computer_monitor
cat,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",36,Male,10,6,6,4,5,CrowdWorks,4,4,6,8,9,2,132646.jpg,cat,OpenImages,132646_cat
Musical instrument,"[0, 0, 0, 0, 1, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",25,Female,4,7,7,3,7,CrowdWorks,4,9,6,9,10,2,0555611d6ba08875.jpg,Musical instrument,OpenImages,0555611d6ba08875_Musical instrument
Tool,"[0, 0, 0, 1, 0, 0]",2,"[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",41,Female,7,6,6,6,6,CrowdWorks,4,7,6,7,6,0,2443f4715e5f54d5.jpg,Tool,OpenImages,2443f4715e5f54d5_Tool
hat,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",39,Female,7,6,7,3,7,CrowdWorks,6,6,8,9,8,1,101088.jpg,hat,LVIS,101088_hat
ring,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",39,Female,7,6,7,3,7,CrowdWorks,6,6,8,9,8,1,101088.jpg,ring,LVIS,101088_ring
person,"[0, 1, 0, 0, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Female,8,6,6,5,6,CrowdWorks,7,5,7,7,8,4,11511.jpg,person,LVIS,11511_person
monitor_(computer_equipment) computer_monitor,"[0, 0, 0, 0, 1, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",26,Female,7,5,5,5,5,CrowdWorks,6,6,7,6,7,1,135872.jpg,monitor_(computer_equipment) computer_monitor,LVIS,135872_monitor_(computer_equipment) computer_monitor
signboard,"[0, 1, 0, 0, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,5,7,2,5,2,CrowdWorks,3,6,10,7,9,1,101882.jpg,signboard,LVIS,101882_signboard
hinge,"[0, 1, 0, 0, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,5,7,2,5,2,CrowdWorks,3,6,10,7,9,1,101882.jpg,hinge,LVIS,101882_hinge
license_plate,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",35,Female,5,7,2,5,2,CrowdWorks,3,6,10,7,9,1,101882.jpg,license_plate,LVIS,101882_license_plate
vent,"[0, 0, 0, 1, 0, 0]",1,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",35,Female,5,7,2,5,2,CrowdWorks,3,6,10,7,9,1,101882.jpg,vent,LVIS,101882_vent
vest,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",35,Female,5,7,2,5,2,CrowdWorks,3,6,10,7,9,1,101882.jpg,vest,LVIS,101882_vest
motorcycle,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",35,Female,5,7,2,5,2,CrowdWorks,3,6,10,7,9,1,101882.jpg,motorcycle,LVIS,101882_motorcycle
tank_top_(clothing),"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",32,Female,7,6,6,6,6,CrowdWorks,4,5,5,9,8,2,10727.jpg,tank_top_(clothing),LVIS,10727_tank_top_(clothing)
Poster,"[0, 1, 0, 1, 0, 0]",3,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",54,Female,8,5,6,6,6,CrowdWorks,2,5,6,10,8,1,6e38935a10c37c78.jpg,Poster,OpenImages,6e38935a10c37c78_Poster
Person,"[1, 1, 1, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",54,Female,8,5,6,6,6,CrowdWorks,2,5,6,10,8,1,6e38935a10c37c78.jpg,Person,OpenImages,6e38935a10c37c78_Person
Office building,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",54,Female,8,5,6,6,6,CrowdWorks,2,5,6,10,8,1,6e38935a10c37c78.jpg,Office building,OpenImages,6e38935a10c37c78_Office building
business_card,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",27,Female,9,7,7,7,7,CrowdWorks,8,3,7,6,10,2,147952.jpg,business_card,LVIS,147952_business_card
monitor_(computer_equipment) computer_monitor,"[1, 0, 1, 1, 1, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",42,Female,7,6,6,4,6,CrowdWorks,4,5,7,8,8,1,117447.jpg,monitor_(computer_equipment) computer_monitor,LVIS,117447_monitor_(computer_equipment) computer_monitor
Car,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,7,7,7,2,7,CrowdWorks,5,8,3,4,5,0,0bc24867cc06ebb6.jpg,Car,OpenImages,0bc24867cc06ebb6_Car
Vehicle registration plate,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,7,7,7,2,7,CrowdWorks,5,8,3,4,5,0,0bc24867cc06ebb6.jpg,Vehicle registration plate,OpenImages,0bc24867cc06ebb6_Vehicle registration plate
House,"[0, 1, 0, 1, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",46,Female,7,6,6,6,6,CrowdWorks,5,7,6,8,7,0,2b2c4fe6d63a13e4.jpg,House,OpenImages,2b2c4fe6d63a13e4_House
Human face,"[1, 0, 0, 0, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Female,8,6,6,5,6,CrowdWorks,7,5,7,7,8,4,00ec4ba83d648c33.jpg,Human face,OpenImages,00ec4ba83d648c33_Human face
Television,"[0, 0, 0, 1, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Female,8,6,6,5,6,CrowdWorks,7,5,7,7,8,4,00ec4ba83d648c33.jpg,Television,OpenImages,00ec4ba83d648c33_Television
Person,"[1, 0, 0, 0, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Female,8,6,6,5,6,CrowdWorks,7,5,7,7,8,4,00ec4ba83d648c33.jpg,Person,OpenImages,00ec4ba83d648c33_Person
Human head,"[1, 0, 0, 0, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Female,8,6,6,5,6,CrowdWorks,7,5,7,7,8,4,00ec4ba83d648c33.jpg,Human head,OpenImages,00ec4ba83d648c33_Human head
monitor_(computer_equipment) computer_monitor,"[0, 0, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Female,7,6,6,6,6,CrowdWorks,4,5,5,9,8,2,387098.jpg,monitor_(computer_equipment) computer_monitor,LVIS,387098_monitor_(computer_equipment) computer_monitor
printer,"[0, 0, 0, 1, 0, 0]",1,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,277338.jpg,printer,LVIS,277338_printer
